Frame,Clock,x,y,h,w,label,score
2,0:00:00,0,0,720,1280,,
3,0:00:00,771,598,122,127,,
535,0:00:21,755,603,117,187,,
962,0:00:38,578,586,134,353,,
965,0:00:38,508,27,168,423,,
974,0:00:38,607,515,205,328,,
1034,0:00:41,420,0,487,87,,
1034,0:00:41,955,3,348,214,,
1034,0:00:41,661,164,100,133,,
1037,0:00:41,746,598,88,142,,
1040,0:00:41,639,589,131,322,,
1921,0:01:16,511,9,164,147,,
1922,0:01:16,482,9,120,97,,
1924,0:01:16,420,0,91,127,,
1925,0:01:17,314,0,113,133,,
1926,0:01:17,295,0,118,114,,
2028,0:01:21,464,15,73,225,,
2029,0:01:21,498,0,356,297,,
2030,0:01:21,438,15,396,423,,
2031,0:01:21,583,95,463,336,,
2032,0:01:21,675,87,549,235,,
2033,0:01:21,696,128,333,179,,
2034,0:01:21,749,198,404,196,,
2035,0:01:21,781,244,473,243,,
2036,0:01:21,832,273,436,251,,
2037,0:01:21,786,253,335,308,,
2038,0:01:21,787,276,359,302,,
2038,0:01:21,625,512,91,132,,
2039,0:01:21,821,465,115,156,,
2039,0:01:21,868,241,148,172,,
2043,0:01:21,715,203,98,103,,
2044,0:01:21,688,190,105,128,,
4568,0:03:02,855,617,103,93,,
4568,0:03:02,1072,549,171,208,,
4913,0:03:16,140,553,139,94,,
4914,0:03:16,517,54,663,676,,
4963,0:03:18,805,0,141,220,,
4964,0:03:18,681,35,312,239,,
4965,0:03:18,658,111,372,253,,
4966,0:03:18,556,235,383,323,,
4967,0:03:18,562,328,352,233,,
4968,0:03:18,513,379,339,332,,
4969,0:03:18,506,387,333,463,,
4970,0:03:18,517,340,377,497,,
4971,0:03:18,529,310,384,397,,
4972,0:03:18,612,248,358,185,,
4973,0:03:18,603,196,176,239,,
4984,0:03:19,656,272,132,81,,
4992,0:03:19,593,199,255,72,,
4992,0:03:19,788,164,108,98,,
4993,0:03:19,573,143,195,225,,
4994,0:03:19,768,160,302,128,,
4994,0:03:19,523,170,130,165,,
4995,0:03:19,532,154,306,169,,
4996,0:03:19,726,179,328,131,,
4997,0:03:19,575,138,101,153,,
4998,0:03:19,605,111,457,329,,
4999,0:03:19,725,225,236,266,,
5000,0:03:20,794,141,366,265,,
5001,0:03:20,698,237,425,396,,
5002,0:03:20,793,553,167,361,,
5003,0:03:20,994,494,226,267,,
5156,0:03:26,1062,587,133,188,,
5158,0:03:26,589,659,58,225,,
5159,0:03:26,642,612,108,294,,
5160,0:03:26,515,623,97,169,,
5161,0:03:26,516,639,81,135,,
5162,0:03:26,512,488,232,152,,
5164,0:03:26,518,519,176,105,,
5239,0:03:29,686,192,165,140,,
5240,0:03:29,671,186,267,183,,
5241,0:03:29,654,213,381,233,,
5242,0:03:29,588,405,313,419,,
5242,0:03:29,776,446,73,238,,
5243,0:03:29,734,499,221,290,,
5263,0:03:30,883,555,165,272,,
5264,0:03:30,816,442,278,250,,
5265,0:03:30,645,461,253,279,,
5266,0:03:30,515,380,338,400,,
5267,0:03:30,504,306,338,469,,
