"","Frame","Clock","x","y","h","w","label","score","FileName","diff","Event"
"66",5160,"0:03:26",515,623,97,169,NA,NA,"VT0115_S1_VP7_20190607",1,6
"67",5161,"0:03:26",516,639,81,135,NA,NA,"VT0115_S1_VP7_20190607",1,6
"68",5162,"0:03:26",512,488,232,152,NA,NA,"VT0115_S1_VP7_20190607",1,6
"69",5164,"0:03:26",518,519,176,105,NA,NA,"VT0115_S1_VP7_20190607",2,6
"70",5239,"0:03:29",686,192,165,140,NA,NA,"VT0115_S1_VP7_20190607",75,7
"71",5240,"0:03:29",671,186,267,183,NA,NA,"VT0115_S1_VP7_20190607",1,7
"72",5241,"0:03:29",654,213,381,233,NA,NA,"VT0115_S1_VP7_20190607",1,7
"73",5242,"0:03:29",588,405,313,419,NA,NA,"VT0115_S1_VP7_20190607",1,7
"74",5242,"0:03:29",776,446,73,238,NA,NA,"VT0115_S1_VP7_20190607",0,7
"75",5243,"0:03:29",734,499,221,290,NA,NA,"VT0115_S1_VP7_20190607",1,7
"76",5263,"0:03:30",883,555,165,272,NA,NA,"VT0115_S1_VP7_20190607",20,7
"77",5264,"0:03:30",816,442,278,250,NA,NA,"VT0115_S1_VP7_20190607",1,7
"78",5265,"0:03:30",645,461,253,279,NA,NA,"VT0115_S1_VP7_20190607",1,7
"79",5266,"0:03:30",515,380,338,400,NA,NA,"VT0115_S1_VP7_20190607",1,7
"80",5267,"0:03:30",504,306,338,469,NA,NA,"VT0115_S1_VP7_20190607",1,7
"81",5268,"0:03:30",515,223,418,494,NA,NA,"VT0115_S1_VP7_20190607",1,7
"82",5269,"0:03:30",583,191,298,337,NA,NA,"VT0115_S1_VP7_20190607",1,7
"83",5270,"0:03:30",650,187,318,190,NA,NA,"VT0115_S1_VP7_20190607",1,7
"84",5273,"0:03:30",689,242,153,117,NA,NA,"VT0115_S1_VP7_20190607",3,7
"85",5303,"0:03:32",674,175,102,97,NA,NA,"VT0115_S1_VP7_20190607",30,NA
"86",5505,"0:03:40",689,170,130,130,NA,NA,"VT0115_S1_VP7_20190607",202,8
"87",5506,"0:03:40",691,199,162,147,NA,NA,"VT0115_S1_VP7_20190607",1,8
"88",5507,"0:03:40",686,192,294,245,NA,NA,"VT0115_S1_VP7_20190607",1,8
"89",5508,"0:03:40",515,241,467,398,NA,NA,"VT0115_S1_VP7_20190607",1,8
"90",5509,"0:03:40",653,418,298,430,NA,NA,"VT0115_S1_VP7_20190607",1,8
"91",5510,"0:03:40",844,551,169,248,NA,NA,"VT0115_S1_VP7_20190607",1,8
"92",5880,"0:03:55",737,608,112,292,NA,NA,"VT0115_S1_VP7_20190607",370,9
"93",5881,"0:03:55",620,518,202,279,NA,NA,"VT0115_S1_VP7_20190607",1,9
"94",5882,"0:03:55",526,358,362,478,NA,NA,"VT0115_S1_VP7_20190607",1,9
"95",5883,"0:03:55",510,263,452,543,NA,NA,"VT0115_S1_VP7_20190607",1,9
"96",5883,"0:03:55",852,587,116,126,NA,NA,"VT0115_S1_VP7_20190607",0,9
"97",5884,"0:03:55",509,163,549,534,NA,NA,"VT0115_S1_VP7_20190607",1,9
"98",5885,"0:03:55",596,187,460,303,NA,NA,"VT0115_S1_VP7_20190607",1,9
"99",5886,"0:03:55",681,184,318,240,NA,NA,"VT0115_S1_VP7_20190607",1,9
"100",5887,"0:03:55",643,297,185,177,NA,NA,"VT0115_S1_VP7_20190607",1,9
"101",5892,"0:03:55",697,272,151,63,NA,NA,"VT0115_S1_VP7_20190607",5,9
"102",5902,"0:03:56",649,209,123,133,NA,NA,"VT0115_S1_VP7_20190607",10,9
"103",5907,"0:03:56",691,153,95,107,NA,NA,"VT0115_S1_VP7_20190607",5,9
"104",8666,"0:05:46",117,100,160,101,NA,NA,"VT0115_S1_VP7_20190607",2759,NA
"105",12581,"0:08:23",0,0,117,309,NA,NA,"VT0115_S1_VP7_20190607",3915,10
"106",12582,"0:08:23",335,0,216,155,NA,NA,"VT0115_S1_VP7_20190607",1,10
"107",12582,"0:08:23",189,21,75,150,NA,NA,"VT0115_S1_VP7_20190607",0,10
"108",12583,"0:08:23",639,434,268,334,NA,NA,"VT0115_S1_VP7_20190607",1,10
"109",12583,"0:08:23",603,0,72,433,NA,NA,"VT0115_S1_VP7_20190607",0,10
"110",17066,"0:11:22",324,51,497,116,NA,NA,"VT0115_S1_VP7_20190607",4483,NA
"111",22091,"0:14:43",122,431,289,301,NA,NA,"VT0115_S1_VP7_20190607",5025,11
"112",22091,"0:14:43",315,472,248,464,NA,NA,"VT0115_S1_VP7_20190607",0,11
"113",22092,"0:14:43",679,498,222,444,NA,NA,"VT0115_S1_VP7_20190607",1,11
"114",22093,"0:14:43",906,360,360,374,NA,NA,"VT0115_S1_VP7_20190607",1,11
"115",25907,"0:17:16",1134,141,292,146,NA,NA,"VT0115_S1_VP7_20190607",3814,12
"116",25908,"0:17:16",941,107,327,241,NA,NA,"VT0115_S1_VP7_20190607",1,12
"117",25909,"0:17:16",636,459,242,330,NA,NA,"VT0115_S1_VP7_20190607",1,12
"118",25909,"0:17:16",728,40,328,340,NA,NA,"VT0115_S1_VP7_20190607",0,12
"119",25910,"0:17:16",512,0,628,651,NA,NA,"VT0115_S1_VP7_20190607",1,12
"120",25911,"0:17:16",580,0,428,375,NA,NA,"VT0115_S1_VP7_20190607",1,12
"121",25912,"0:17:16",474,0,246,551,NA,NA,"VT0115_S1_VP7_20190607",1,12
"122",25913,"0:17:16",492,0,278,270,NA,NA,"VT0115_S1_VP7_20190607",1,12
"123",25914,"0:17:16",494,0,234,220,NA,NA,"VT0115_S1_VP7_20190607",1,12
"124",25915,"0:17:16",477,15,173,111,NA,NA,"VT0115_S1_VP7_20190607",1,12
"125",26182,"0:17:27",631,3,136,188,NA,NA,"VT0115_S1_VP7_20190607",267,13
"126",26183,"0:17:27",522,0,244,381,NA,NA,"VT0115_S1_VP7_20190607",1,13
"127",26184,"0:17:27",511,65,375,448,NA,NA,"VT0115_S1_VP7_20190607",1,13
"128",26185,"0:17:27",609,177,440,403,NA,NA,"VT0115_S1_VP7_20190607",1,13
"129",26186,"0:17:27",751,285,408,332,NA,NA,"VT0115_S1_VP7_20190607",1,13
"130",26187,"0:17:27",927,575,145,292,NA,NA,"VT0115_S1_VP7_20190607",1,13
"131",26333,"0:17:33",692,176,116,115,NA,NA,"VT0115_S1_VP7_20190607",146,14
"132",26334,"0:17:33",672,194,150,154,NA,NA,"VT0115_S1_VP7_20190607",1,14
"133",26335,"0:17:33",651,168,295,229,NA,NA,"VT0115_S1_VP7_20190607",1,14
"134",26336,"0:17:33",519,161,470,474,NA,NA,"VT0115_S1_VP7_20190607",1,14
"135",26336,"0:17:33",687,211,125,169,NA,NA,"VT0115_S1_VP7_20190607",0,14
"136",26337,"0:17:33",620,373,331,351,NA,NA,"VT0115_S1_VP7_20190607",1,14
"137",26338,"0:17:33",765,509,211,310,NA,NA,"VT0115_S1_VP7_20190607",1,14
"138",26369,"0:17:34",709,600,120,162,NA,NA,"VT0115_S1_VP7_20190607",31,15
"139",26370,"0:17:34",561,513,207,253,NA,NA,"VT0115_S1_VP7_20190607",1,15
"140",26371,"0:17:34",516,456,247,272,NA,NA,"VT0115_S1_VP7_20190607",1,15
"141",26372,"0:17:34",514,396,313,341,NA,NA,"VT0115_S1_VP7_20190607",1,15
