Frame,Clock,x,y,h,w,label,score
480,0:00:19,668,0,137,269,Negative,0.78929883
481,0:00:19,100,0,206,268,Positive,0.80195147
800,0:00:32,1116,550,170,164,Negative,0.668531
801,0:00:32,948,478,134,182,Positive,0.76925886
802,0:00:32,778,425,171,241,Negative,0.8062458
803,0:00:32,760,370,226,180,Positive,0.7735275
804,0:00:32,722,333,214,150,Negative,0.94864106
805,0:00:32,645,325,144,165,Positive,0.9810528
807,0:00:32,665,312,124,116,Positive,0.83102673
1164,0:00:46,1168,416,124,112,Positive,0.99990046
1165,0:00:46,1107,369,116,118,Positive,0.92045105
1166,0:00:46,939,297,213,245,Positive,0.9999989
1167,0:00:46,928,271,237,208,Positive,0.9999995
1168,0:00:46,824,292,212,160,Positive,0.8966238
1169,0:00:46,720,283,248,148,Positive,0.985036
1170,0:00:46,729,289,204,102,Positive,0.77540773
1171,0:00:46,697,290,146,104,Positive,0.98432815
1183,0:00:47,686,277,104,109,Positive,0.99964
1199,0:00:47,676,285,162,157,Positive,0.9427005
1311,0:00:52,565,237,292,253,Positive,0.9999957
1312,0:00:52,624,209,304,305,Positive,0.9999999
1313,0:00:52,669,252,149,245,Positive,0.9984895
1314,0:00:52,657,310,156,344,Positive,0.59784555
1315,0:00:52,903,329,200,212,Positive,0.9727475
1316,0:00:52,1030,283,178,227,Positive,0.995169
1697,0:01:07,577,308,117,188,Positive,0.99543935
2273,0:01:30,631,224,256,245,Negative,0.6368132
2274,0:01:30,799,297,132,180,Positive,0.98932284
2276,0:01:31,1040,194,167,224,Positive,0.99929976
4798,0:03:11,0,87,237,220,Negative,0.89166814
5221,0:03:28,739,333,205,251,Negative,0.85164815
5222,0:03:28,359,224,229,266,Negative,0.78969866
5223,0:03:28,7,129,239,265,Positive,0.99466914
5974,0:03:58,180,0,145,192,Negative,0.899102
5975,0:03:59,248,5,189,185,Negative,0.5827409
5976,0:03:59,323,53,166,188,Positive,0.69954085
5977,0:03:59,302,18,186,337,Positive,0.9990709
5979,0:03:59,517,0,206,171,Positive,0.6734109
5980,0:03:59,522,0,187,300,Positive,0.9583628
5981,0:03:59,648,0,215,216,Positive,0.9954175
5982,0:03:59,786,0,195,219,Negative,0.898467
5983,0:03:59,0,150,125,191,Positive,0.5806755
5983,0:03:59,934,0,169,220,Positive,0.6053781
5984,0:03:59,219,145,217,216,Negative,0.5435459
5984,0:03:59,1153,0,137,127,Negative,0.70913744
5985,0:03:59,515,199,158,212,Negative,0.68261606
5986,0:03:59,786,176,176,218,Positive,0.999977
5987,0:03:59,1057,67,218,182,Negative,0.94013435
5996,0:03:59,1038,0,180,242,Positive,0.99368274
5997,0:03:59,912,94,144,304,Positive,0.9127803
5998,0:03:59,757,144,311,306,Positive,0.9999814
5999,0:03:59,729,183,305,209,Positive,0.9927932
6000,0:04:00,695,244,257,196,Negative,0.83141595
6001,0:04:00,665,328,224,160,Positive,0.9918155
6002,0:04:00,674,344,199,145,Positive,0.99997914
6020,0:04:00,665,320,163,161,Positive,0.9992324
7076,0:04:43,639,335,101,190,Positive,0.99877745
