Frame,Clock,x,y,h,w,label,score
33,0:00:03,596,159,136,146,Negative,0.5026712
35,0:00:03,399,0,438,663,Negative,0.90456533
36,0:00:03,667,179,284,243,Positive,0.82962686
37,0:00:03,643,184,277,131,Positive,0.99854654
39,0:00:03,672,289,167,209,Negative,0.7614602
