"","DVDNumber","FocalID","PartnerID","Year","DayOfYear","TypeOfCare","BroodName","DVDRef.x","DVDRef.y","TapeLength","Protocol","Observer","BroodRef","Situation","Deaths","OffspringNo","Age","Wrong","DVDdate","DVDtime","Weather","Wind","Notes"
"1376","50818",750,1898,2005,202,"Inc","E202",1375,1375,94,NA,"",702,2,FALSE,4,9,FALSE,"21/7/2005","0/1/1900",1,2,""
"1377","50819",646,500,2005,202,"Inc","E205",1376,1376,93.69999695,NA,"",705,2,FALSE,4,9,FALSE,"21/7/2005","0/1/1900",1,2,""
"1378","50820",471,661,2005,202,"Prov","E183",1377,1377,93.69999695,NA,"",683,4,FALSE,2,3,TRUE,"21/7/2005","0/1/1900",1,2,"PROJECT SPARROW WATCHER"
"1379","50821",416,4418,2005,202,"Prov","E164",1378,1378,93.69999695,NA,"",665,4,FALSE,1,12,TRUE,"21/7/2005","0/1/1900",1,1,"PROJECT SPARROW WATCHER"
"1380","50822",1048,591,2005,202,"Prov","E177",1379,1379,93.90000153,NA,"",677,4,FALSE,1,6,TRUE,"21/7/2005","0/1/1900",1,1,"PROJECT SPARROW WATCHER"
"1381","50823",860,114,2005,203,"Inc","E204",1380,1380,93.69999695,NA,"",704,2,FALSE,4,9,FALSE,"22/7/2005","0/1/1900",0,0,""
"1382","50824",512,765,2005,203,"Inc","E212",1381,1381,94.30000305,NA,"",712,2,FALSE,4,9,FALSE,"22/7/2005","0/1/1900",0,0,"MaleTime really???"
"1383","50825",1907,504,2005,203,"Inc","E195",1382,1382,93.69999695,NA,"",695,2,FALSE,4,12,FALSE,"22/7/2005","0/1/1900",0,0,""
"1384","50826",2007,2012,2005,203,"Prov","E178",1383,1383,93.5,1,"",678,4,FALSE,2,7,FALSE,"22/7/2005","0/1/1900",0,0,""
"1385","50827",471,661,2005,203,"Prov","E183",1384,1384,93.59999847,NA,"",683,4,FALSE,2,4,TRUE,"22/7/2005","0/1/1900",0,0,"PROJECT SPARROW WATCHER"
"1386","50828",416,4418,2005,203,"Prov","E164",1385,1385,93.69999695,NA,"",665,4,FALSE,1,13,TRUE,"22/7/2005","0/1/1900",0,0,"PROJECT SPARROW WATCHER"
"1387","50829",1048,591,2005,203,"Prov","E177",1386,1386,93.40000153,1,"",677,4,FALSE,1,7,FALSE,"22/7/2005","0/1/1900",0,0,"PROJECT SPARROW WATCHER"
"1388","50830",442,457,2005,203,"Prov","E162",1387,1387,93.80000305,NA,"",663,4,FALSE,3,15,TRUE,"22/7/2005","0/1/1900",0,0,"PROJECT SPARROW WATCHER"
"1389","50831",206,2018,2005,203,"Inc","E196",1388,1388,93.80000305,NA,"",696,2,FALSE,6,12,FALSE,"22/7/2005","0/1/1900",0,0,""
"1390","50832",892,4435,2005,203,"Inc","E198",1389,1389,93.5,NA,"",698,2,FALSE,5,12,FALSE,"22/7/2005","0/1/1900",0,0,""
"1391","50833",1386,287,2005,203,"Inc","E203",1390,1390,93.69999695,NA,"",703,2,FALSE,4,9,FALSE,"22/7/2005","0/1/1900",0,0,""
"1392","50834",2014,356,2005,203,"Inc","E207",1391,1391,93.19999695,NA,"",707,2,FALSE,4,9,FALSE,"22/7/2005","0/1/1900",0,0,""
"1393","50835",342,421,2005,203,"Inc","E206",1392,1392,93.59999847,NA,"",706,2,FALSE,4,9,FALSE,"22/7/2005","0/1/1900",0,0,""
"1394","50836",832,1464,2005,204,"Inc","E199",1393,1393,93.09999847,NA,"",699,2,FALSE,4,12,FALSE,"23/7/2005","0/1/1900",3,0,""
"1395","50837",45,166,2005,204,"Inc","E197",1394,1394,93.5,NA,"",697,2,FALSE,4,12,FALSE,"23/7/2005","0/1/1900",3,0,""
"1396","50838",604,4304,2005,204,"Inc","E171",1395,1395,93.09999847,NA,"",672,2,FALSE,3,11,FALSE,"23/7/2005","0/1/1900",3,0,""
"1397","50839",471,661,2005,204,"Prov","E183",1396,1396,93.09999847,NA,"",683,4,FALSE,2,5,TRUE,"23/7/2005","0/1/1900",3,0,"PROJECT SPARROW WATCHER"
"1398","50840",592,418,2005,204,"Prov","E169",1397,1397,93.69999695,1,"",670,4,FALSE,1,11,FALSE,"23/7/2005","0/1/1900",3,0,""
"1399","50841",4425,962,2005,204,"Prov","E170",1398,1398,NA,NA,"",671,4,FALSE,1,11,FALSE,"23/7/2005","0/1/1900",3,0,"1C DEAD NEXT DAY"
"1400","50842",1514,1929,2005,204,"Inc","E201",1399,1399,93.5,NA,"",701,2,FALSE,3,9,FALSE,"23/7/2005","0/1/1900",3,0,""
"1401","50843",4391,4265,2005,204,"Inc","E209",1400,1400,93.80000305,NA,"",709,2,FALSE,5,9,FALSE,"23/7/2005","0/1/1900",3,0,""
"1402","50844",819,11,2005,204,"Prov","E172",1401,1401,93.69999695,1,"",673,4,FALSE,2,11,FALSE,"23/7/2005","0/1/1900",3,0,""
"1403","50845",985,602,2005,204,"Inc","E200",1402,1402,93.59999847,NA,"",700,2,FALSE,4,9,FALSE,"23/7/2005","0/1/1900",3,0,""
"1404","50846",917,4463,2005,204,"Prov","E174",1403,1403,93.19999695,1,"",675,4,FALSE,2,10,FALSE,"23/7/2005","0/1/1900",3,0,"changed from 3 to 2 because there is no evidence of 3 chicks in the nest"
"1405","50847",416,4418,2005,204,"Prov","E164",1404,1404,93.69999695,NA,"",665,4,FALSE,1,14,TRUE,"23/7/2005","0/1/1900",3,0,"PROJECT SPARROW WATCER"
"1406","50848",542,251,2005,205,"Inc","E211",1405,1405,93.59999847,NA,"",711,2,FALSE,4,9,FALSE,"24/7/2005","0/1/1900",2,2,""
"1407","50849",309,993,2005,205,"Inc","E208",1406,1406,93.5,NA,"",708,2,FALSE,4,9,FALSE,"24/7/2005","0/1/1900",2,2,""
"1408","50850",750,1898,2005,205,"Inc","E202",1407,1407,93.69999695,NA,"",702,2,FALSE,4,12,FALSE,"24/7/2005","0/1/1900",4,2,""
"1409","50851",471,661,2005,205,"Prov","E183",1408,1408,93.69999695,NA,"",683,4,FALSE,2,6,TRUE,"24/7/2005","0/1/1900",4,2,"PROJECT SPARROW WATCHER"
"1410","50852",427,22,2005,205,"Inc","E215",1409,1409,93.59999847,NA,"",715,2,FALSE,4,9,FALSE,"24/7/2005","0/1/1900",4,2,""
"1411","50853",1364,504,2005,205,"Inc","E213",1410,1410,93.80000305,NA,"",713,2,FALSE,4,9,FALSE,"24/7/2005","0/1/1900",1,2,""
"1412","50854",646,500,2005,205,"Inc","E205",1411,1411,93.09999847,NA,"",705,2,FALSE,4,12,FALSE,"24/7/2005","0/1/1900",0,2,""
"1413","50855",857,1569,2005,205,"Inc","E216",1412,1412,94,NA,"",716,2,FALSE,4,9,FALSE,"24/7/2005","0/1/1900",0,2,""
"1414","50856",1739,46,2005,205,"Inc","E214",1413,1413,93.5,NA,"",714,2,FALSE,4,9,FALSE,"24/7/2005","0/1/1900",0,2,""
"1415","50857",1718,1038,2005,206,"Prov","E185",1414,1414,93.69999695,1,"",685,4,FALSE,1,7,FALSE,"25/7/2005","0/1/1900",1,2,""
"1416","50858",560,4230,2005,206,"Prov","E184",1415,1415,93.69999695,1,"",684,4,FALSE,3,7,FALSE,"25/7/2005","0/1/1900",1,2,""
"1417","50859",471,661,2005,206,"Prov","E183",1416,1416,93.59999847,1,"",683,4,FALSE,2,7,FALSE,"25/7/2005","0/1/1900",1,2,"PROJECT SPARROW WATCHER"
"1418","50860",4273,4153,2005,206,"Inc","E210",1417,1417,93.80000305,NA,"",710,2,FALSE,5,9,FALSE,"25/7/2005","0/1/1900",1,2,""
"1419","50861",1558,902,2005,206,"Prov","E180",1418,1418,93.69999695,1,"",680,4,FALSE,2,11,FALSE,"25/7/2005","0/1/1900",1,2,"MAY HAVE BEEN 3C"
"1420","50862",342,421,2005,206,"Inc","E206",1419,1419,93.59999847,NA,"",706,2,FALSE,4,12,FALSE,"25/7/2005","0/1/1900",1,2,""
"1421","50863",860,114,2005,206,"Inc","E204",1420,1420,93.69999695,NA,"",704,2,FALSE,4,12,FALSE,"25/7/2005","0/1/1900",1,2,"STOPPED @ 44MIN"
"1422","50864",512,765,2005,206,"Inc","E212",1421,1421,93.59999847,NA,"",712,2,FALSE,4,12,FALSE,"25/7/2005","0/1/1900",1,2,""
"1423","50865",1047,1226,2005,206,"Inc","E217",1422,1422,93.69999695,NA,"",717,2,FALSE,3,9,FALSE,"25/7/2005","0/1/1900",1,2,""
"1424","50866",1386,287,2005,206,"Inc","E203",1423,1423,93.69999695,NA,"",703,2,FALSE,4,12,FALSE,"25/7/2005","0/1/1900",1,2,""
"1425","50867",2014,356,2005,206,"Inc","E207",1424,1424,92.5,NA,"",707,2,FALSE,4,12,FALSE,"25/7/2005","0/1/1900",1,2,""
"1426","50868",4424,537,2005,207,"Prov","E186",1425,1425,93.09999847,1,"",686,4,FALSE,5,7,FALSE,"26/7/2005","0/1/1900",1,0,""
"1427","50869",2007,2012,2005,207,"Prov","E178",1426,1426,93.69999695,1,"",678,4,FALSE,2,11,FALSE,"26/7/2005","0/1/1900",1,0,""
"1428","50870",471,661,2005,207,"Prov","E183",1427,1427,89,NA,"",683,4,FALSE,2,8,TRUE,"26/7/2005","0/1/1900",1,0,"PROJECT SPARROW WATCHER"
"1429","50871",1514,1929,2005,207,"Inc","E201",1428,1428,93.80000305,NA,"",701,2,FALSE,3,12,FALSE,"26/7/2005","0/1/1900",1,0,""
"1430","50872",4391,4265,2005,207,"Inc","E209",1429,1429,93.59999847,NA,"",709,2,FALSE,5,12,FALSE,"26/7/2005","0/1/1900",1,0,""
"1431","50873",985,602,2005,207,"Inc","E200",1430,1430,93.80000305,NA,"",700,2,FALSE,4,12,FALSE,"26/7/2005","0/1/1900",1,0,""
"1432","50874",471,661,2005,208,"Prov","E183",1431,1431,93.59999847,NA,"",683,4,FALSE,2,9,TRUE,"27/7/2005","0/1/1900",3,2,""
"1433","50875",533,417,2005,208,"Prov","E187",1432,1432,93.69999695,NA,"",687,4,FALSE,3,7,TRUE,"27/7/2005","0/1/1900",3,2,""
"1434","50876",427,22,2005,208,"Inc","E215",1433,1433,93.69999695,NA,"",715,2,FALSE,4,12,FALSE,"27/7/2005","0/1/1900",3,2,""
"1435","50877",338,466,2005,208,"Prov","E189",1434,1434,93.59999847,1,"",689,4,FALSE,3,7,FALSE,"27/7/2005","0/1/1900",1,2,""
"1436","50878",542,251,2005,208,"Inc","E211",1435,1435,93.80000305,NA,"",711,2,FALSE,4,12,FALSE,"27/7/2005","0/1/1900",1,2,""
"1437","50879",309,993,2005,208,"Inc","E208",1436,1436,93.69999695,NA,"",708,2,FALSE,4,12,FALSE,"27/7/2005","0/1/1900",1,2,""
"1438","50880",1739,46,2005,208,"Inc","E214",1437,1437,93.80000305,NA,"",714,2,FALSE,4,12,FALSE,"27/7/2005","0/1/1900",1,3,""
"1439","50881",1364,504,2005,208,"Inc","E213",1438,1438,93.69999695,NA,"",713,2,FALSE,4,12,FALSE,"27/7/2005","0/1/1900",1,3,""
"1440","50882",857,1569,2005,208,"Inc","E216",1439,1439,93.5,NA,"",716,2,FALSE,4,12,FALSE,"27/7/2005","0/1/1900",1,3,""
"1441","50883",1100,959,2005,209,"Prov","E190",1440,1440,93.69999695,1,"",690,4,FALSE,4,7,FALSE,"28/7/2005","0/1/1900",3,2,""
"1442","50884",1827,1353,2005,209,"Prov","E191",1441,1441,90.69999695,1,"",691,4,FALSE,3,7,FALSE,"28/7/2005","0/1/1900",3,2,""
"1443","50885",533,417,2005,209,"Prov","E187",1442,1442,93.69999695,1,"",687,4,FALSE,3,8,FALSE,"28/7/2005","0/1/1900",3,2,""
"1444","50886",4273,4153,2005,209,"Inc","E210",1443,1443,93.5,NA,"",710,2,FALSE,5,12,FALSE,"28/7/2005","0/1/1900",3,2,""
"1445","50887",4290,4275,2005,209,"Inc","E219",1444,1444,93.59999847,NA,"",719,2,FALSE,4,9,FALSE,"28/7/2005","0/1/1900",3,2,""
"1446","50888",1047,1226,2005,209,"Inc","E217",1445,1445,93.80000305,NA,"",717,2,FALSE,3,12,FALSE,"28/7/2005","0/1/1900",3,2,""
"1447","50889",471,661,2005,209,"Prov","E183",1446,1446,93.80000305,NA,"",683,4,FALSE,2,10,TRUE,"28/7/2005","0/1/1900",3,2,"PROJECT SPARROW WATCHER"
"1448","50890",1718,1038,2005,210,"Prov","E185",1447,1447,92.40000153,1,"",685,4,FALSE,1,11,FALSE,"29/7/2005","0/1/1900",4,2,""
"1449","50891",560,4230,2005,210,"Prov","E184",1448,1448,93,NA,"",684,4,FALSE,3,11,TRUE,"29/7/2005","0/1/1900",4,2,""
"1450","50892",471,661,2005,210,"Prov","E183",1449,1449,93.59999847,1,"",683,4,FALSE,2,11,FALSE,"29/7/2005","0/1/1900",4,2,"PROJECT SPARROW WATCHER"
"1451","50893",903,354,2005,210,"Prov","E193",1450,1450,93.69999695,1,"",693,4,FALSE,1,7,FALSE,"29/7/2005","0/1/1900",4,2,""
"1452","50894",2004,823,2005,210,"Prov","E192",1451,1451,93.69999695,NA,"",692,4,FALSE,3,7,TRUE,"29/7/2005","0/1/1900",4,2,""
"1453","50895",560,4230,2005,211,"Prov","E184",1452,1452,93.80000305,1,"",684,4,FALSE,3,12,FALSE,"30/7/2005","0/1/1900",3,0,""
"1454","50896",4424,537,2005,211,"Prov","E186",1453,1453,89.40000153,NA,"",686,4,FALSE,5,11,TRUE,"30/7/2005","0/1/1900",3,0,""
"1455","50897",4392,505,2005,211,"Prov","E194",1454,1454,93.09999847,1,"",694,4,FALSE,3,7,FALSE,"30/7/2005","0/1/1900",3,0,"COULD HAVE BEEN 2C!!!!"
"1456","50898",471,661,2005,211,"Prov","E183",1455,1455,93.59999847,NA,"",683,4,FALSE,2,12,TRUE,"30/7/2005","0/1/1900",3,0,""
"1457","50899",1318,23,2005,211,"Inc","E218",1456,1456,93.09999847,NA,"",718,2,FALSE,4,9,FALSE,"30/7/2005","0/1/1900",1,0,""
"1458","50900",2004,823,2005,211,"Prov","E192",1457,1457,93.30000305,1,"",692,4,FALSE,3,8,FALSE,"30/7/2005","0/1/1900",1,0,""
"1459","50901",4392,505,2005,212,"Prov","E194",1458,1458,93.5,1,"",694,4,FALSE,2,8,FALSE,"31/7/2005","0/1/1900",3,1,""
"1460","50902",338,466,2005,212,"Prov","E189",1459,1459,93.59999847,1,"",689,4,FALSE,3,11,FALSE,"31/7/2005","0/1/1900",3,1,"TC19833 (JUV) WAS IN THE NEST"
"1461","50903",533,417,2005,212,"Prov","E187",1460,1460,93.80000305,NA,"",687,4,FALSE,3,11,TRUE,"31/7/2005","0/1/1900",3,1,"CAMPERS' DISTURBANCE?"
"1462","50904",4290,4275,2005,212,"Inc","E219",1461,1461,93.59999847,NA,"",719,2,FALSE,4,12,FALSE,"31/7/2005","0/1/1900",3,1,""
"1463","50905",471,661,2005,212,"Prov","E183",1462,1462,93.5,NA,"",683,4,FALSE,2,13,TRUE,"31/7/2005","0/1/1900",3,1,"PROJECT SPARROW WATCER"
"1464","50906",4424,537,2005,212,"Prov","E186",1463,1463,93.59999847,1,"",686,4,FALSE,5,12,FALSE,"31/7/2005","0/1/1900",3,1,""
"1465","50907",1100,959,2005,213,"Prov","E190",1464,1464,92.90000153,1,"",690,4,FALSE,3,11,FALSE,"1/8/2005","0/1/1900",1,0,""
"1466","50908",1827,1353,2005,213,"Prov","E191",1465,1465,93.5,1,"",691,4,FALSE,3,11,FALSE,"1/8/2005","0/1/1900",1,0,""
"1467","50909",533,417,2005,213,"Prov","E187",1466,1466,93.80000305,1,"",687,4,FALSE,3,12,FALSE,"1/8/2005","0/1/1900",1,0,""
"1468","50910",45,166,2005,213,"Prov","E197",1467,1467,93.69999695,1,"",697,4,FALSE,3,7,FALSE,"1/8/2005","0/1/1900",1,0,""
"1469","50911",980,4421,2005,213,"Inc","E221",1468,1468,93.69999695,NA,"",721,2,FALSE,3,9,FALSE,"1/8/2005","0/1/1900",1,0,""
"1470","50912",206,2018,2005,213,"Prov","E196",1469,1469,93.69999695,1,"",696,4,FALSE,3,7,FALSE,"1/8/2005","0/1/1900",1,0,""
"1471","50913",471,661,2005,213,"Prov","E183",1470,1470,93.80000305,NA,"",683,4,FALSE,2,14,TRUE,"1/8/2005","0/1/1900",1,0,"PROJECT SPARROW WATCER"
"1472","50914",913,818,2005,213,"Inc","E220",1471,1471,93.80000305,NA,"",720,2,FALSE,4,9,FALSE,"1/8/2005","0/1/1900",1,0,""
"1473","50915",903,354,2005,214,"Prov","E193",1472,1472,93.69999695,1,"",693,4,FALSE,1,11,FALSE,"2/8/2005","0/1/1900",0,1,""
"1474","50916",1386,287,2005,214,"Prov","E203",1473,1473,93.5,1,"",703,4,FALSE,3,7,FALSE,"2/8/2005","0/1/1900",0,1,""
"1475","50917",860,114,2005,214,"Prov","E204",1474,1474,93.80000305,1,"",704,4,FALSE,2,7,FALSE,"2/8/2005","0/1/1900",0,1,""
"1476","50918",985,602,2005,214,"Prov","E200",1475,1475,93.69999695,1,"",700,4,FALSE,2,7,FALSE,"2/8/2005","0/1/1900",0,1,"3C DAY BEFORE"
"1477","50919",750,1898,2005,214,"Prov","E202",1476,1476,93.5,1,"",702,4,FALSE,1,7,FALSE,"2/8/2005","0/1/1900",0,1,""
"1478","50920",2004,823,2005,214,"Prov","E192",1477,1477,93.5,1,"",692,4,FALSE,3,11,FALSE,"2/8/2005","0/1/1900",0,1,""
"1479","50921",1318,23,2005,214,"Inc","E218",1478,1478,93.90000153,NA,"",718,2,FALSE,4,12,FALSE,"2/8/2005","0/1/1900",0,1,""
"1480","50922",649,460,2005,214,"Inc","E222",1479,1479,93.69999695,NA,"",722,2,FALSE,4,9,FALSE,"2/8/2005","0/1/1900",0,1,""
"1481","50923",2014,356,2005,215,"Prov","E207",1480,1480,93.5,1,"",707,4,FALSE,3,7,FALSE,"3/8/2005","0/1/1900",0,2,""
"1482","50924",646,500,2005,215,"Prov","E205",1481,1481,93.5,1,"",705,4,FALSE,4,7,FALSE,"3/8/2005","0/1/1900",0,2,""
"1483","50925",342,421,2005,215,"Prov","E206",1482,1482,93.59999847,1,"",706,4,FALSE,2,7,FALSE,"3/8/2005","0/1/1900",0,2,""
"1484","50926",431,356,2005,215,"Inc","E224",1483,1483,93.69999695,NA,"",724,2,FALSE,3,9,FALSE,"3/8/2005","0/1/1900",0,2,""
"1485","50927",980,4421,2005,216,"Inc","E221",1484,1484,93.69999695,NA,"",721,2,FALSE,3,12,FALSE,"4/8/2005","0/1/1900",0,1,""
"1486","50928",784,1095,2005,216,"Inc","E223",1485,1485,93.69999695,NA,"",723,2,FALSE,3,9,TRUE,"4/8/2005","0/1/1900",0,1,"MALE TOUCHED BEFORE FILMING"
"1487","50929",913,818,2005,216,"Inc","E220",1486,1486,93.69999695,NA,"",720,2,FALSE,4,12,FALSE,"4/8/2005","0/1/1900",0,1,""
"1488","50930",1739,46,2005,217,"Prov","E214",1487,1487,92.80000305,NA,"",714,4,FALSE,2,7,TRUE,"5/8/2005","0/1/1900",1,2,""
"1489","50931",1364,504,2005,217,"Prov","E213",1488,1488,93.69999695,1,"",713,4,FALSE,1,7,FALSE,"5/8/2005","0/1/1900",1,2,""
"1490","50932",45,166,2005,217,"Prov","E197",1489,1489,93.80000305,NA,"",697,4,FALSE,3,11,TRUE,"5/8/2005","0/1/1900",1,2,""
"1491","50933",206,2018,2005,217,"Prov","E196",1490,1490,93.69999695,1,"",696,4,FALSE,3,11,FALSE,"5/8/2005","0/1/1900",1,2,""
"1492","50934",649,460,2005,217,"Inc","E222",1491,1491,93.59999847,NA,"",722,2,FALSE,4,12,FALSE,"5/8/2005","0/1/1900",3,2,""
"1493","50935",1048,591,2005,217,"Inc","E234",1492,1492,83.5,NA,"",734,2,FALSE,5,9,FALSE,"5/8/2005","0/1/1900",3,2,""
"1494","50936",540,1053,2005,217,"Inc","E225",1493,1493,93.69999695,NA,"",725,2,FALSE,4,9,FALSE,"5/8/2005","0/1/1900",3,2,""
"1495","50937",985,602,2005,218,"Prov","E200",1494,1494,93.69999695,1,"",700,4,FALSE,2,11,FALSE,"6/8/2005","0/1/1900",1,1,""
"1496","50938",860,114,2005,218,"Prov","E204",1495,1495,93.59999847,1,"",704,4,FALSE,2,11,FALSE,"6/8/2005","0/1/1900",1,1,""
"1497","50939",857,1569,2005,218,"Prov","E216",1496,1496,93.5,1,"",716,4,FALSE,3,7,FALSE,"6/8/2005","0/1/1900",1,1,""
"1498","50940",427,22,2005,218,"Prov","E215",1497,1497,93.59999847,1,"",715,4,FALSE,4,7,FALSE,"6/8/2005","0/1/1900",1,1,""
"1499","50941",4273,4153,2005,218,"Prov","E210",1498,1498,93.80000305,1,"",710,4,FALSE,4,7,FALSE,"6/8/2005","0/1/1900",1,1,""
"1500","50942",1386,287,2005,218,"Prov","E203",1499,1499,93.69999695,1,"",703,4,FALSE,2,11,FALSE,"6/8/2005","0/1/1900",1,1,""
"1501","50943",45,166,2005,218,"Prov","E197",1500,1500,94,1,"",697,4,FALSE,3,12,FALSE,"6/8/2005","0/1/1900",1,1,""
"1502","50944",206,2018,2005,218,"Prov","E196",1501,1501,93.69999695,1,"",696,4,FALSE,3,12,FALSE,"6/8/2005","0/1/1900",1,1,""
"1503","50945",431,356,2005,218,"Inc","E224",1502,1502,58.40000153,NA,"",724,2,FALSE,3,12,TRUE,"6/8/2005","0/1/1900",3,1,"58MIN LONG"
"1504","50946",1739,46,2005,218,"Prov","E214",1503,1503,93.80000305,1,"",714,4,FALSE,2,8,FALSE,"6/8/2005","0/1/1900",3,1,""
"1505","50947",1386,287,2005,219,"Prov","E203",1504,1504,93.90000153,1,"",703,4,FALSE,2,12,FALSE,"7/8/2005","0/1/1900",0,2,""
"1506","50948",2014,356,2005,219,"Prov","E207",1505,1505,93.5,1,"",707,4,FALSE,3,11,FALSE,"7/8/2005","0/1/1900",0,2,""
"1507","50949",342,421,2005,219,"Prov","E206",1506,1506,94,1,"",706,4,FALSE,2,11,FALSE,"7/8/2005","0/1/1900",0,2,""
"1508","50950",431,356,2005,219,"Inc","E224",1507,1507,94,NA,"",724,2,FALSE,3,13,FALSE,"7/8/2005","0/1/1900",0,2,""
"1509","50951",1047,1226,2005,219,"Prov","E217",1508,1508,93.59999847,1,"",717,4,FALSE,1,7,FALSE,"7/8/2005","0/1/1900",0,2,""
"1510","50952",646,500,2005,219,"Prov","E205",1509,1509,94,1,"",705,4,FALSE,4,11,FALSE,"7/8/2005","0/1/1900",0,2,""
"1511","50953",122,1448,2005,219,"Inc","E229",1510,1510,93.69999695,NA,"",729,2,FALSE,4,9,FALSE,"7/8/2005","0/1/1900",0,2,""
"1512","50954",4382,494,2005,219,"Inc","E230",1511,1511,93.59999847,NA,"",730,2,FALSE,3,9,FALSE,"7/8/2005","0/1/1900",0,2,""
"1513","50955",1048,591,2005,219,"Inc","E234",1512,1512,93.69999695,NA,"",734,2,FALSE,5,12,FALSE,"7/8/2005","0/1/1900",0,0,""
"1514","50956",540,1053,2005,220,"Inc","E225",1513,1513,87.59999847,NA,"",725,2,FALSE,4,12,FALSE,"8/8/2005","0/1/1900",0,0,""
"1515","50957",843,1343,2005,220,"Inc","E227",1514,1514,NA,NA,"",727,2,FALSE,0,11,TRUE,"8/8/2005","0/1/1900",0,0,"SPECIAL RECORDING TO GET RINGS"
"1516","50958",4290,4275,2005,221,"Prov","E219",1515,1515,93.69999695,1,"",719,4,FALSE,3,7,FALSE,"9/8/2005","0/1/1900",0,0,""
"1517","50959",1739,46,2005,221,"Prov","E214",1516,1516,93.69999695,1,"",714,4,FALSE,2,11,FALSE,"9/8/2005","0/1/1900",0,0,""
"1518","50960",416,4418,2005,221,"Inc","E232",1517,1517,94,NA,"",732,2,FALSE,4,9,FALSE,"9/8/2005","0/1/1900",0,0,""
"1519","50961",1589,393,2005,221,"Inc","E228",1518,1518,NA,NA,"",728,2,FALSE,0,12,TRUE,"9/8/2005","0/1/1900",0,0,"SPECIAL RECORDING TO GET RINGS"
"1520","50962",427,22,2005,222,"Prov","E215",1519,1519,93.90000153,1,"",715,4,FALSE,4,11,FALSE,"10/8/2005","0/1/1900",0,1,""
"1521","50963",4273,4153,2005,222,"Prov","E210",1520,1520,93.69999695,1,"",710,4,FALSE,4,11,FALSE,"10/8/2005","0/1/1900",0,1,""
"1522","50964",857,1569,2005,222,"Prov","E216",1521,1521,93.69999695,1,"",716,4,FALSE,3,11,FALSE,"10/8/2005","0/1/1900",0,1,""
"1523","50965",1069,1935,2005,222,"Inc","E235",1522,1522,93.69999695,NA,"",735,2,FALSE,4,9,FALSE,"10/8/2005","0/1/1900",0,1,""
"1524","50966",122,1448,2005,222,"Inc","E229",1523,1523,93.69999695,NA,"",729,2,FALSE,4,12,FALSE,"10/8/2005","0/1/1900",1,1,""
"1525","50967",4382,494,2005,222,"Inc","E230",1524,1524,93.69999695,NA,"",730,2,FALSE,3,12,FALSE,"10/8/2005","0/1/1900",1,1,""
"1526","50968",892,4435,2005,223,"Inc","E236",1525,1525,90.5,NA,"",736,2,FALSE,4,9,FALSE,"11/8/2005","0/1/1900",1,2,""
"1527","50969",1047,1226,2005,223,"Prov","E217",1526,1526,93.69999695,1,"",717,4,FALSE,1,11,FALSE,"11/8/2005","0/1/1900",1,2,""
"1528","50970",980,4421,2005,224,"Prov","E221",1527,1527,93.59999847,1,"",721,4,FALSE,3,7,FALSE,"12/8/2005","0/1/1900",0,2,""
"1529","50971",913,818,2005,224,"Prov","E220",1528,1528,93.69999695,1,"",720,4,FALSE,3,7,FALSE,"12/8/2005","0/1/1900",0,2,""
"1530","50972",416,4418,2005,224,"Inc","E232",1529,1529,94,NA,"",732,2,FALSE,4,12,FALSE,"12/8/2005","0/1/1900",0,2,""
"1531","50973",4290,4275,2005,225,"Prov","E219",1530,1530,93.59999847,NA,"",719,4,FALSE,3,11,TRUE,"13/8/2005","0/1/1900",1,2,""
"1532","50974",1069,1935,2005,225,"Inc","E235",1531,1531,93.69999695,NA,"",735,2,FALSE,4,12,FALSE,"13/8/2005","0/1/1900",1,2,""
"1533","50975",988,145,2005,225,"Inc","E238",1532,1532,93.69999695,NA,"",738,2,FALSE,4,9,FALSE,"13/8/2005","0/1/1900",1,2,""
"1534","50976",649,460,2005,226,"Prov","E222",1533,1533,94,1,"",722,4,FALSE,4,7,FALSE,"14/8/2005","0/1/1900",0,2,""
"1535","50977",892,4435,2005,226,"Inc","E236",1534,1534,92,NA,"",736,2,FALSE,4,12,FALSE,"14/8/2005","0/1/1900",0,2,""
"1536","50978",4290,4275,2005,226,"Prov","E219",1535,1535,93.69999695,1,"",719,4,FALSE,3,12,FALSE,"14/8/2005","0/1/1900",0,2,""
"1537","50979",431,356,2005,227,"Prov","E224",1536,1536,93.5,1,"",724,4,FALSE,1,7,FALSE,"15/8/2005","0/1/1900",0,1,""
"1538","50980",604,4304,2005,227,"Inc","E240",1537,1537,94,NA,"",740,2,FALSE,5,9,FALSE,"15/8/2005","0/1/1900",0,1,""
"1539","50981",442,457,2005,227,"Inc","E239",1538,1538,93.59999847,NA,"",739,2,FALSE,4,9,FALSE,"15/8/2005","0/1/1900",0,1,""
"1540","50982",4391,4265,2005,227,"Inc","E242",1539,1539,93.69999695,NA,"",742,2,FALSE,5,9,FALSE,"15/8/2005","0/1/1900",0,1,""
"1541","50983",571,974,2005,227,"Inc","E241",1540,1540,93.69999695,NA,"",741,2,FALSE,4,9,FALSE,"15/8/2005","0/1/1900",0,1,""
"1542","50984",963,505,2005,227,"Inc","E231",1541,1541,NA,NA,"",731,2,FALSE,3,16,TRUE,"15/8/2005","0/1/1900",0,1,"SPECIAL RECORDING TO GET RINGS"
