DVDRef,DVDNumber,TapeLength,Protocol,Observer,BroodRef,Situation,Deaths,OffspringNo,Age,Wrong,DVDdate,DVDtime,Weather,Wind,Notes
61,40061,93.80000305,,,481,4,FALSE,3,3,FALSE,9/5/2004,0/1/1900,1,2,
62,40062,93.80000305,,,498,2,FALSE,4,11,FALSE,9/5/2004,0/1/1900,1,2,
63,40063,93.69999695,1,,484,4,FALSE,4,3,FALSE,10/5/2004,0/1/1900,2,0,
64,40064,93.69999695,,,508,2,FALSE,3,11,FALSE,10/5/2004,0/1/1900,2,0,
65,40065,93.80000305,,,507,2,FALSE,3,11,FALSE,10/5/2004,0/1/1900,2,0,
66,40066,93.80000305,1,,483,4,FALSE,5,3,FALSE,10/5/2004,0/1/1900,2,0,
67,40067,93.80000305,,,505,2,FALSE,5,11,FALSE,10/5/2004,0/1/1900,2,0,
68,40068,93.69999695,,,502,2,FALSE,4,11,FALSE,10/5/2004,0/1/1900,2,0,
69,40069,93.69999695,1,,472,4,FALSE,2,7,FALSE,11/5/2004,0/1/1900,1,1,
70,40070,93.80000305,1,,486,4,FALSE,2,3,FALSE,11/5/2004,0/1/1900,1,1,
71,40071,93.69999695,1,,457,4,FALSE,1,11,FALSE,11/5/2004,0/1/1900,1,1,
72,40072,93.80000305,1,,456,4,TRUE,0,11,FALSE,11/5/2004,0/1/1900,1,1,CHI 1->0C11D (UNFINISHED)
73,40073,93.59999847,1,,487,4,FALSE,1,3,FALSE,12/5/2004,0/1/1900,1,1,
74,40074,92.5,1,,475,4,FALSE,2,7,FALSE,12/5/2004,0/1/1900,1,1,
75,40075,92.59999847,1,,462,4,FALSE,2,11,FALSE,12/5/2004,0/1/1900,1,1,
76,40076,93.69999695,1,,488,4,FALSE,3,3,FALSE,13/5/2004,0/1/1900,1,0,
77,40077,93.80000305,1,,489,4,FALSE,2,3,FALSE,13/5/2004,0/1/1900,1,0,
78,40078,93.69999695,1,,490,4,FALSE,4,3,FALSE,13/5/2004,0/1/1900,1,0,
79,40079,93.69999695,1,,477,4,FALSE,1,7,FALSE,13/5/2004,0/1/1900,1,0,
80,40080,93.80000305,1,,491,4,FALSE,3,3,FALSE,13/5/2004,0/1/1900,1,0,
81,40081,93.69999695,1,,464,4,FALSE,3,11,FALSE,13/5/2004,0/1/1900,1,0,
82,40082,92.69999695,1,,494,4,FALSE,4,3,FALSE,14/5/2004,0/1/1900,1,0,
83,40083,93.80000305,1,,495,4,FALSE,4,3,FALSE,14/5/2004,0/1/1900,1,0,
84,40084,93.69999695,1,,484,4,FALSE,3,7,FALSE,14/5/2004,0/1/1900,1,0,
85,40085,93.69999695,1,,498,4,FALSE,4,2,FALSE,14/5/2004,0/1/1900,1,0,
86,40086,93.69999695,1,,493,4,FALSE,4,3,FALSE,14/5/2004,0/1/1900,1,1,
87,40087,93.69999695,1,,496,4,FALSE,3,3,FALSE,14/5/2004,0/1/1900,1,1,
88,40088,93.80000305,1,,500,4,FALSE,2,3,FALSE,15/5/2004,0/1/1900,0,0,
89,40089,93.09999847,1,,472,4,FALSE,2,11,FALSE,15/5/2004,0/1/1900,0,0,
90,40090,93.69999695,1,,486,4,FALSE,1,7,FALSE,15/5/2004,0/1/1900,0,0,
91,40091,93.69999695,1,,498,4,TRUE,3,3,FALSE,15/5/2004,0/1/1900,0,0,CHI 4->2C3D
92,40092,93.69999695,1,,497,4,FALSE,5,3,FALSE,15/5/2004,0/1/1900,0,0,
93,40093,93.69999695,,,509,2,FALSE,4,11,FALSE,15/5/2004,0/1/1900,0,0,
94,40094,93.69999695,1,,501,4,FALSE,1,3,FALSE,15/5/2004,0/1/1900,0,0,
95,40095,93.90000153,,,511,2,FALSE,4,11,FALSE,15/5/2004,0/1/1900,0,0,
96,40096,93.90000153,,,510,2,FALSE,4,11,FALSE,15/5/2004,0/1/1900,0,0,
97,40097,93.69999695,1,,502,4,FALSE,4,3,FALSE,16/5/2004,0/1/1900,0,0,
98,40098,93.59999847,1,,505,4,FALSE,4,3,FALSE,16/5/2004,0/1/1900,0,0,
99,40099,93.69999695,1,,475,4,FALSE,2,11,FALSE,16/5/2004,0/1/1900,0,0,
100,40100,93.69999695,,,514,2,FALSE,4,10,FALSE,16/5/2004,0/1/1900,0,0,
101,40101,93.19999695,,,512,2,FALSE,4,11,FALSE,16/5/2004,0/1/1900,0,0,
102,40102,93.90000153,,,513,2,FALSE,4,11,FALSE,16/5/2004,0/1/1900,0,0,
103,40103,93.59999847,1,,491,4,FALSE,2,7,FALSE,17/5/2004,0/1/1900,0,1,
104,40104,93.80000305,,,502,4,FALSE,3,4,TRUE,17/5/2004,0/1/1900,0,1,
105,40105,93.69999695,1,,489,4,FALSE,1,7,FALSE,17/5/2004,0/1/1900,0,0,
106,40106,93.69999695,1,,488,4,FALSE,2,7,FALSE,17/5/2004,0/1/1900,0,0,
107,40107,93.69999695,1,,477,4,FALSE,1,11,FALSE,17/5/2004,0/1/1900,0,0,
108,40108,93.69999695,1,,490,4,FALSE,3,7,FALSE,17/5/2004,0/1/1900,0,0,
109,40109,93.69999695,1,,493,4,FALSE,4,7,FALSE,18/5/2004,0/1/1900,0,0,
110,40110,93.69999695,1,,494,4,FALSE,3,7,FALSE,18/5/2004,0/1/1900,0,0,
111,40111,93.69999695,1,,484,4,FALSE,3,11,FALSE,18/5/2004,0/1/1900,0,0,
112,40112,93.69999695,1,,495,4,FALSE,2,7,FALSE,18/5/2004,0/1/1900,0,0,
113,40113,93.69999695,1,,496,4,FALSE,3,7,FALSE,18/5/2004,0/1/1900,0,0,
114,40114,93.69999695,1,,497,4,FALSE,4,7,FALSE,19/5/2004,0/1/1900,1,1,
115,40115,93.69999695,1,,498,4,FALSE,1,7,FALSE,19/5/2004,0/1/1900,1,1,
116,40116,98.80000305,,,516,2,FALSE,5,11,FALSE,21/5/2004,0/1/1900,0,2,
117,40117,93.69999695,1,,509,4,TRUE,4,3,FALSE,21/5/2004,0/1/1900,0,2,CHI 4->3C3D
118,40118,93.59999847,1,,510,4,TRUE,4,3,FALSE,21/5/2004,0/1/1900,0,2,CHI 4->3C3D
119,40119,93.59999847,1,,491,4,FALSE,2,11,FALSE,21/5/2004,0/1/1900,0,2,
120,40120,93.69999695,1,,511,4,FALSE,3,3,FALSE,21/5/2004,0/1/1900,0,2,
