"","Frame","Clock","x","y","h","w","label","score","FileName","diff","Event"
"1",2,"0:00:00",0,0,720,1280,"Positive",0.7135414,"VT0139_S1_VP11_20190611",0,NA
"2",469,"0:00:18",868,634,76,148,"Negative",0.94150037,"VT0139_S1_VP11_20190611",467,NA
"3",1995,"0:01:19",1086,0,195,194,"Positive",0.82716435,"VT0139_S1_VP11_20190611",1526,1
"4",1996,"0:01:19",917,104,221,360,"Positive",0.9914608,"VT0139_S1_VP11_20190611",1,1
"5",1997,"0:01:19",952,190,364,309,"Positive",0.8334506,"VT0139_S1_VP11_20190611",1,1
"6",1998,"0:01:19",943,262,400,196,"Positive",0.9764006,"VT0139_S1_VP11_20190611",1,1
"7",1999,"0:01:19",799,309,411,319,"Positive",0.9983773,"VT0139_S1_VP11_20190611",1,1
"8",2000,"0:01:20",770,285,398,302,"Positive",0.99958855,"VT0139_S1_VP11_20190611",1,1
"9",2001,"0:01:20",640,238,402,435,"Positive",0.99597836,"VT0139_S1_VP11_20190611",1,1
"10",2002,"0:01:20",653,188,385,532,"Positive",0.9989452,"VT0139_S1_VP11_20190611",1,1
"11",2003,"0:01:20",683,200,347,393,"Positive",0.9995832,"VT0139_S1_VP11_20190611",1,1
"12",2005,"0:01:20",742,306,214,83,"Negative",0.9377799,"VT0139_S1_VP11_20190611",2,1
"13",2240,"0:01:29",832,238,261,167,"Positive",0.9917018,"VT0139_S1_VP11_20190611",235,NA
"14",2241,"0:01:29",798,299,202,220,"Positive",0.98401237,"VT0139_S1_VP11_20190611",1,NA
"15",2398,"0:01:35",948,193,131,97,"Positive",0.994361,"VT0139_S1_VP11_20190611",157,NA
"16",2512,"0:01:40",799,321,176,152,"Negative",0.9495524,"VT0139_S1_VP11_20190611",114,2
"17",2513,"0:01:40",753,291,231,200,"Positive",0.548898,"VT0139_S1_VP11_20190611",1,2
"18",2514,"0:01:40",757,183,329,189,"Positive",0.99981254,"VT0139_S1_VP11_20190611",1,2
"19",2515,"0:01:40",765,375,117,172,"Negative",0.9155896,"VT0139_S1_VP11_20190611",1,2
"20",2516,"0:01:40",768,224,312,202,"Positive",0.5223572,"VT0139_S1_VP11_20190611",1,2
"21",3312,"0:02:12",878,176,113,123,"Negative",0.7412807,"VT0139_S1_VP11_20190611",796,3
"22",3313,"0:02:12",853,187,145,172,"Positive",0.9854645,"VT0139_S1_VP11_20190611",1,3
"23",3314,"0:02:12",655,107,546,536,"Positive",0.9723198,"VT0139_S1_VP11_20190611",1,3
"24",3314,"0:02:12",1181,128,227,50,"Negative",0.9999939,"VT0139_S1_VP11_20190611",0,3
"25",3314,"0:02:12",822,120,171,177,"Positive",0.6067717,"VT0139_S1_VP11_20190611",0,3
"26",3315,"0:02:12",718,115,502,454,"Positive",0.99739885,"VT0139_S1_VP11_20190611",1,3
"27",3316,"0:02:12",756,313,407,364,"Negative",0.5938945,"VT0139_S1_VP11_20190611",1,3
"28",3317,"0:02:12",949,181,318,264,"Positive",0.6963387,"VT0139_S1_VP11_20190611",1,3
"29",3318,"0:02:12",1089,269,298,191,"Negative",0.9260998,"VT0139_S1_VP11_20190611",1,3
"30",6026,"0:04:01",333,47,673,947,"Positive",0.90911096,"VT0139_S1_VP11_20190611",2708,NA
"31",6027,"0:04:01",0,221,448,420,"Positive",0.96166414,"VT0139_S1_VP11_20190611",1,NA
"32",11276,"0:07:31",1000,330,273,280,"Negative",0.9362846,"VT0139_S1_VP11_20190611",5249,4
"33",11277,"0:07:31",853,261,340,325,"Positive",0.9398422,"VT0139_S1_VP11_20190611",1,4
"34",11279,"0:07:31",626,60,650,584,"Positive",0.9358129,"VT0139_S1_VP11_20190611",2,4
"35",11280,"0:07:31",672,0,553,434,"Positive",0.8841121,"VT0139_S1_VP11_20190611",1,4
"36",11281,"0:07:31",649,0,397,587,"Negative",0.8174812,"VT0139_S1_VP11_20190611",1,4
"37",11282,"0:07:31",665,0,271,348,"Negative",0.9248598,"VT0139_S1_VP11_20190611",1,4
"38",11283,"0:07:31",853,0,197,309,"Negative",0.9761347,"VT0139_S1_VP11_20190611",1,4
"39",11283,"0:07:31",663,27,170,215,"Positive",0.994521,"VT0139_S1_VP11_20190611",0,4
"40",11322,"0:07:32",268,540,180,209,"Negative",1,"VT0139_S1_VP11_20190611",39,5
"41",11322,"0:07:32",403,0,402,456,"Negative",0.9372176,"VT0139_S1_VP11_20190611",0,5
"42",11323,"0:07:32",547,0,285,283,"Positive",0.98391944,"VT0139_S1_VP11_20190611",1,5
"43",11324,"0:07:32",643,62,381,201,"Positive",0.965775,"VT0139_S1_VP11_20190611",1,5
"44",11326,"0:07:33",642,157,356,228,"Positive",0.84383744,"VT0139_S1_VP11_20190611",2,5
"45",11327,"0:07:33",636,110,586,270,"Positive",0.7953839,"VT0139_S1_VP11_20190611",1,5
"46",11328,"0:07:33",691,123,517,275,"Positive",0.99419206,"VT0139_S1_VP11_20190611",1,5
"47",11329,"0:07:33",684,106,376,502,"Positive",0.99999666,"VT0139_S1_VP11_20190611",1,5
"48",11330,"0:07:33",754,128,364,253,"Positive",0.9998745,"VT0139_S1_VP11_20190611",1,5
"49",11331,"0:07:33",717,203,351,384,"Negative",0.81063217,"VT0139_S1_VP11_20190611",1,5
"50",11332,"0:07:33",684,245,280,480,"Negative",0.94681036,"VT0139_S1_VP11_20190611",1,5
"51",11340,"0:07:33",764,396,197,288,"Positive",0.8732557,"VT0139_S1_VP11_20190611",8,5
"52",11341,"0:07:33",734,340,226,263,"Negative",0.9499678,"VT0139_S1_VP11_20190611",1,5
"53",11380,"0:07:35",812,300,185,178,"Positive",0.97640777,"VT0139_S1_VP11_20190611",39,NA
"54",11478,"0:07:39",689,232,356,499,"Positive",0.9421807,"VT0139_S1_VP11_20190611",98,6
"55",11478,"0:07:39",694,258,251,207,"Positive",0.93477,"VT0139_S1_VP11_20190611",0,6
"56",11479,"0:07:39",731,229,326,426,"Positive",0.9001356,"VT0139_S1_VP11_20190611",1,6
"57",11481,"0:07:39",955,361,135,114,"Negative",0.7278298,"VT0139_S1_VP11_20190611",2,6
"58",11481,"0:07:39",703,205,178,156,"Positive",0.9977958,"VT0139_S1_VP11_20190611",0,6
"59",11482,"0:07:39",691,177,178,173,"Negative",0.6183264,"VT0139_S1_VP11_20190611",1,6
"60",11483,"0:07:39",898,192,247,159,"Positive",0.66756827,"VT0139_S1_VP11_20190611",1,6
"61",11625,"0:07:45",785,176,310,252,"Positive",0.9999995,"VT0139_S1_VP11_20190611",142,7
"62",11626,"0:07:45",724,151,345,343,"Positive",0.99827373,"VT0139_S1_VP11_20190611",1,7
"63",11627,"0:07:45",688,76,456,419,"Positive",0.9921342,"VT0139_S1_VP11_20190611",1,7
"64",11628,"0:07:45",710,66,566,444,"Positive",0.9973036,"VT0139_S1_VP11_20190611",1,7
"65",11629,"0:07:45",731,123,416,463,"Positive",0.9979532,"VT0139_S1_VP11_20190611",1,7
"66",11630,"0:07:45",909,173,547,364,"Positive",0.98069376,"VT0139_S1_VP11_20190611",1,7
"67",11630,"0:07:45",749,211,394,417,"Positive",0.98174703,"VT0139_S1_VP11_20190611",0,7
"68",11658,"0:07:46",691,353,357,348,"Positive",0.9597799,"VT0139_S1_VP11_20190611",28,8
"69",11659,"0:07:46",670,267,438,411,"Positive",0.9999714,"VT0139_S1_VP11_20190611",1,8
"70",11660,"0:07:46",760,256,289,264,"Positive",0.8920855,"VT0139_S1_VP11_20190611",1,8
