Frame,Clock,x,y,h,w,label,score
13967,0:09:18,770,101,394,416,Positive,0.998718
13968,0:09:18,782,19,564,498,Positive,0.99536103
13969,0:09:18,796,122,598,484,Positive,0.91561157
16130,0:10:45,417,428,292,406,Negative,0.67605233
16131,0:10:45,532,337,365,477,Positive,0.6272631
16132,0:10:45,573,201,484,470,Positive,0.8898623
16133,0:10:45,636,176,489,284,Positive,0.9940984
16134,0:10:45,723,144,445,215,Positive,0.95124716
16135,0:10:45,729,136,410,344,Positive,0.9934797
16197,0:10:47,773,236,309,226,Positive,0.9508555
16199,0:10:47,642,178,506,537,Positive,0.966855
16201,0:10:48,669,237,335,460,Positive,0.9965737
16202,0:10:48,740,111,472,317,Positive,0.9999341
16203,0:10:48,799,295,218,158,Negative,0.8838228
16203,0:10:48,876,136,74,197,Negative,0.89294845
16408,0:10:56,715,162,356,451,Positive,0.99785537
16409,0:10:56,761,145,399,378,Positive,0.59283525
16410,0:10:56,829,207,332,256,Positive,0.98387504
16412,0:10:56,810,387,104,178,Negative,0.7799122
16414,0:10:56,851,281,208,145,Positive,0.9814835
16415,0:10:56,848,244,222,126,Positive,0.8288437
16420,0:10:56,913,163,178,121,Negative,0.8813957
16421,0:10:56,874,125,110,135,Negative,0.71693
16427,0:10:57,846,64,193,158,Negative,0.72167057
16428,0:10:57,924,85,119,78,Positive,0.8836722
16433,0:10:57,939,45,163,101,Negative,0.8335189
16728,0:11:09,887,148,141,126,Positive,0.6719402
16729,0:11:09,854,170,174,187,Positive,0.9889157
16730,0:11:09,662,62,439,512,Positive,0.8955226
16733,0:11:09,926,610,110,308,Positive,0.8334874
18654,0:12:26,740,557,163,311,Positive,0.8370215
18655,0:12:26,675,344,373,334,Positive,0.69409144
18656,0:12:26,647,245,454,527,Positive,0.8470475
18657,0:12:26,672,270,297,321,Positive,0.9999306
18660,0:12:26,659,165,401,549,Positive,0.94394255
18661,0:12:26,784,142,370,323,Positive,0.9999713
18665,0:12:26,658,112,273,516,Positive,0.97757626
18666,0:12:26,715,64,147,319,Negative,0.8843941
18668,0:12:26,668,141,343,158,Positive,0.82578033
19101,0:12:44,876,150,152,114,Positive,0.8194995
19103,0:12:44,853,205,166,162,Positive,0.99086154
19104,0:12:44,845,239,228,197,Negative,0.7492925
19105,0:12:44,792,266,401,312,Positive,0.9079489
19105,0:12:44,957,269,160,140,Positive,0.9769057
19105,0:12:44,887,303,113,94,Positive,0.8935693
19106,0:12:44,673,407,313,389,Positive,0.88156205
19106,0:12:44,895,509,211,198,Positive,0.73426974
19107,0:12:44,796,578,142,271,Negative,0.89843434
21992,0:14:39,925,557,163,212,Positive,0.96043795
21993,0:14:39,705,444,276,482,Positive,0.8365485
21994,0:14:39,768,349,359,318,Positive,0.9993436
21995,0:14:39,728,267,434,297,Positive,0.9763313
21996,0:14:39,653,157,483,579,Positive,0.9995882
21997,0:14:39,741,144,420,257,Positive,1.0
21998,0:14:39,717,133,393,233,Positive,0.9999963
21999,0:14:39,687,179,316,325,Positive,0.9812013
22000,0:14:40,714,180,298,361,Positive,0.97918165
22233,0:14:49,669,282,207,269,Positive,0.9869069
22449,0:14:57,932,191,97,106,Positive,0.98050433
22450,0:14:58,939,165,134,102,Positive,0.99942136
22454,0:14:58,905,176,182,139,Negative,0.5420801
22455,0:14:58,838,206,178,226,Positive,0.6772383
22456,0:14:58,669,214,300,419,Positive,0.98268294
22457,0:14:58,685,227,207,445,Positive,0.5567601
22457,0:14:58,692,367,142,275,Positive,0.9853241
22458,0:14:58,705,229,252,494,Positive,0.874937
22459,0:14:58,768,250,333,499,Negative,0.61653125
22460,0:14:58,810,232,488,470,Positive,0.94013715
