"","Event","MeanTime","StartFrame","EndFrame"
"1",1,1.325,1995,2005
"2",2,1.66666666666667,2512,2516
"3",3,2.2,3312,3318
"4",4,7.51666666666667,11276,11283
"5",5,7.54487179487179,11322,11341
"6",6,7.65,11478,11483
"7",7,7.75,11625,11630
"8",8,7.77,11658,11683
"9",9,8.08333333333333,12131,12136
"10",10,9.06666666666667,13617,13621
"11",11,9.1,13661,13670
"12",12,9.16,13736,13763
"13",13,9.29666666666667,13948,13969
"14",14,10.75,16130,16135
"15",15,10.7944444444444,16197,16203
"16",16,10.9378787878788,16408,16433
"17",17,11.15,16728,16733
"18",18,12.4333333333333,18654,18668
"19",19,12.7333333333333,19101,19107
"20",20,14.6518518518519,21992,22000
"21",21,14.9652777777778,22449,22461
"22",22,15.1833333333333,22779,22787
"23",23,15.3708333333333,23069,23089
"24",24,15.9166666666667,23876,23897
"25",25,15.95,23935,23943
"26",26,16.1555555555556,24236,24251
"27",27,17.1633333333333,25748,25757
"28",28,17.5833333333333,26382,26392
"29",29,18.8766666666667,28323,28328
"30",30,19.0833333333333,28642,28648
"31",31,26.1833333333333,39293,39297
"32",32,26.2333333333333,39351,39361
"33",33,26.2555555555556,39394,39401
"34",34,26.5333333333333,39818,39822
"35",35,32.55,48826,48848
"36",36,32.8305555555556,49249,49254
"37",37,32.85,49283,49288
"38",38,34.3657407407407,51549,51567
"39",39,34.6326388888889,51942,51979
"40",40,34.7133333333333,52073,52079
"41",41,34.7777777777778,52173,52178
"42",42,34.8166666666667,52230,52239
"43",43,36.7051282051282,55064,55082
"44",44,36.8,55205,55211
"45",45,36.8333333333333,55261,55268
"46",46,38.6833333333333,58025,58033
"47",47,38.8333333333333,58258,58270
"48",48,38.9,58351,58356
"49",49,40.1060606060606,60163,60194
"50",50,40.1666666666667,60265,60272
"51",51,40.2166666666667,60330,60331
"52",52,40.3,60463,60467
"53",53,41.7640350877193,62647,62670
"54",54,41.9333333333333,62909,62915
"55",55,42.8333333333333,64262,64269
"56",56,43.052380952381,64591,64600
"57",57,43.7104166666667,65551,65584
"58",58,43.83,65727,65756
"59",59,44.8111111111111,67221,67233
"60",60,44.95,67430,67435
"61",61,45.9211111111111,68885,68924
"62",62,46.1309523809524,69199,69205
"63",63,46.9333333333333,70402,70412
"64",64,47.2816666666667,70923,70949
"65",65,48.6888888888889,73043,73053
"66",66,48.85,73278,73283
"67",67,49.7666666666667,74650,74659
"68",68,49.8,74708,74711
"69",69,49.8333333333333,74766,74771
"70",70,51.147619047619,76723,76738
"71",71,51.4666666666667,77202,77209
"72",72,52.55,78832,78840
"73",73,52.6833333333333,79040,79045
"74",74,53.5,80260,80270
"75",75,53.55,80341,80343
"76",76,53.65,80484,80493
"77",77,53.6833333333333,80525,80536
"78",78,53.75,80625,80630
"79",79,53.8333333333333,80754,80767
"80",80,56.9166666666667,85375,85384
"81",81,57.15,85732,85747
"82",82,62.4730769230769,93717,93729
"83",83,62.5,93763,93775
"84",84,62.66875,94006,94026
"85",85,62.8,94212,94216
"86",86,65.4714285714286,98213,98229
"87",87,65.5770833333333,98366,98389
"88",88,65.85,98778,98788
"89",89,68.45,102681,102690
"90",90,68.7333333333333,103102,103114
"91",91,71.2833333333333,106941,106947
"92",92,71.5047619047619,107267,107279
"93",93,72.85,109286,109288
"94",94,72.8760416666667,109317,109342
"95",95,72.9666666666667,109454,109464
"96",96,73.2619047619048,109888,109914
"97",97,76.29,114444,114453
"98",98,76.5333333333333,114810,114814
"99",99,78.25,117375,117382
"100",100,78.5,117760,117764
"101",101,78.9735294117647,118446,118493
"102",102,79.0217948717949,118539,118553
"103",103,79.05,118580,118592
"104",104,79.1196078431372,118680,118705
"105",105,79.2,118801,118806
"106",106,79.3666666666667,119055,119059
"107",107,80.9888888888889,121494,121502
"108",108,81.1595238095238,121743,121768
"109",109,83.95,125938,125940
"110",110,83.9833333333333,125983,125995
"111",111,85.6666666666667,128501,128507
"112",112,85.787037037037,128693,128700
"113",113,85.9318181818182,128895,128918
"114",114,87,130511,130516
"115",115,87.0333333333333,130560,130570
"116",116,87.05,130592,130599
"117",117,87.237037037037,130867,130880
"118",118,88.4764705882353,132717,132737
"119",119,88.5559139784946,132834,132861
"120",120,88.6976190476191,133043,133063
"121",121,90.7783333333333,136171,136180
"122",122,90.8166666666667,136228,136240
"123",123,90.8666666666667,136318,136323
"124",124,91.3166666666667,136989,136990
"125",125,92.1680555555556,138258,138276
"126",126,92.2587719298246,138376,138414
"127",127,93.1245098039216,139691,139709
"128",128,93.1714285714286,139763,139780
"129",129,93.2166666666667,139834,139840
"130",130,94.5712121212121,141868,141890
"131",131,94.7203703703704,142081,142103
"132",132,95.6375,143467,143478
"133",133,95.8809523809524,143824,143829
"134",134,95.9,143854,143857
"135",135,96.05,144092,144098
"136",136,100.801666666667,151215,151225
"137",137,100.952380952381,151433,151454
"138",138,102.816666666667,154237,154240
"139",139,102.883333333333,154329,154332
"140",140,103,154504,154517
"141",141,103.111111111111,154674,154691
"142",142,103.183333333333,154784,154788
