Frame,Clock,x,y,h,w,label,score,Events,Sex,Note
13620,0:09:04,899,0,351,209,Positive,0.9774491,Around,F,
13621,0:09:04,863,0,151,170,Negative,0.65557975,Around,F,
13661,0:09:06,617,0,292,279,Negative,0.734091,Around,F,
13663,0:09:06,669,0,296,248,Negative,0.75479627,Around,F,
13664,0:09:06,648,0,514,300,Positive,0.9989717,Around,F,
13665,0:09:06,708,56,339,412,Positive,0.9997265,Around,F,
13666,0:09:06,784,98,278,342,Positive,0.9995504,Around,F,
13667,0:09:06,703,116,414,478,Positive,0.9999951,Around,F,
13668,0:09:06,712,170,413,442,Positive,0.99772614,Around,F,
13669,0:09:06,721,318,214,246,Negative,0.72725064,Around,F,
13670,0:09:06,742,211,289,344,Positive,0.94805396,Around,F,
13736,0:09:09,896,644,76,176,Positive,0.79018396,Fly,,
13736,0:09:09,1169,390,159,111,Negative,1,Fly,,
13736,0:09:09,900,0,455,380,Positive,0.6172873,Fly,,
13738,0:09:09,0,0,695,701,Positive,0.90144217,Fly,,
13754,0:09:10,797,226,317,203,Positive,0.9834689,Around,F,
13755,0:09:10,653,223,404,515,Positive,0.93354887,Around,F,
13756,0:09:10,647,246,320,570,Positive,0.9981639,Around,F,
13760,0:09:10,895,383,176,64,Negative,0.8194378,Around,F,
13762,0:09:10,677,180,173,155,Negative,0.5513965,Around,F,
13763,0:09:10,774,341,182,125,Positive,0.9998233,Around,F,
13948,0:09:17,919,155,96,105,Positive,0.9111779,Around,F,
13965,0:09:18,890,165,261,170,Positive,0.7936618,Around,F,
13967,0:09:18,770,101,394,416,Positive,0.998718,Around,F,
13968,0:09:18,782,19,564,498,Positive,0.99536103,Around,F,
13969,0:09:18,796,122,598,484,Positive,0.91561157,Around,F,
16130,0:10:45,417,428,292,406,Negative,0.67605233,Around,F,
16131,0:10:45,532,337,365,477,Positive,0.6272631,Around,F,
16132,0:10:45,573,201,484,470,Positive,0.8898623,Around,F,
16133,0:10:45,636,176,489,284,Positive,0.9940984,Around,F,
16134,0:10:45,723,144,445,215,Positive,0.95124716,Around,F,
16135,0:10:45,729,136,410,344,Positive,0.9934797,Around,F,
16197,0:10:47,773,236,309,226,Positive,0.9508555,Around,F,
16199,0:10:47,642,178,506,537,Positive,0.966855,Around,F,
16201,0:10:48,669,237,335,460,Positive,0.9965737,Around,F,
16202,0:10:48,740,111,472,317,Positive,0.9999341,Around,F,
16203,0:10:48,799,295,218,158,Negative,0.8838228,Around,F,
16203,0:10:48,876,136,74,197,Negative,0.89294845,Around,F,
16408,0:10:56,715,162,356,451,Positive,0.99785537,Enter,F,
16409,0:10:56,761,145,399,378,Positive,0.59283525,Enter,F,
16410,0:10:56,829,207,332,256,Positive,0.98387504,Enter,F,
16412,0:10:56,810,387,104,178,Negative,0.7799122,Enter,F,
16414,0:10:56,851,281,208,145,Positive,0.9814835,Enter,F,
16415,0:10:56,848,244,222,126,Positive,0.8288437,Enter,F,
16420,0:10:56,913,163,178,121,Negative,0.8813957,Enter,F,
16421,0:10:56,874,125,110,135,Negative,0.71693,Enter,F,
16427,0:10:57,846,64,193,158,Negative,0.72167057,Enter,F,
16428,0:10:57,924,85,119,78,Positive,0.8836722,Enter,F,
16433,0:10:57,939,45,163,101,Negative,0.8335189,Enter,F,
16728,0:11:09,887,148,141,126,Positive,0.6719402,Exit,F,
16729,0:11:09,854,170,174,187,Positive,0.9889157,Exit,F,
16730,0:11:09,662,62,439,512,Positive,0.8955226,Exit,F,
16733,0:11:09,926,610,110,308,Positive,0.8334874,Exit,F,
18654,0:12:26,740,557,163,311,Positive,0.8370215,Enter,M,
18655,0:12:26,675,344,373,334,Positive,0.69409144,Enter,M,
18656,0:12:26,647,245,454,527,Positive,0.8470475,Enter,M,
18657,0:12:26,672,270,297,321,Positive,0.9999306,Enter,M,
18660,0:12:26,659,165,401,549,Positive,0.94394255,Enter,M,
18661,0:12:26,784,142,370,323,Positive,0.9999713,Enter,M,
18665,0:12:26,658,112,273,516,Positive,0.97757626,Enter,M,
18666,0:12:26,715,64,147,319,Negative,0.8843941,Enter,M,
18668,0:12:26,668,141,343,158,Positive,0.82578033,Enter,M,
19101,0:12:44,876,150,152,114,Positive,0.8194995,Exit,M,
19103,0:12:44,853,205,166,162,Positive,0.99086154,Exit,M,
19104,0:12:44,845,239,228,197,Negative,0.7492925,Exit,M,
19105,0:12:44,792,266,401,312,Positive,0.9079489,Exit,M,
19105,0:12:44,957,269,160,140,Positive,0.9769057,Exit,M,
19105,0:12:44,887,303,113,94,Positive,0.8935693,Exit,M,
19106,0:12:44,673,407,313,389,Positive,0.88156205,Exit,M,
19106,0:12:44,895,509,211,198,Positive,0.73426974,Exit,M,
19107,0:12:44,796,578,142,271,Negative,0.89843434,Exit,M,
21992,0:14:39,925,557,163,212,Positive,0.96043795,Around,M,Feed from outside
21993,0:14:39,705,444,276,482,Positive,0.8365485,Around,M,
21994,0:14:39,768,349,359,318,Positive,0.9993436,Around,M,
21995,0:14:39,728,267,434,297,Positive,0.9763313,Around,M,
21996,0:14:39,653,157,483,579,Positive,0.9995882,Around,M,
21997,0:14:39,741,144,420,257,Positive,1,Around,M,
21998,0:14:39,717,133,393,233,Positive,0.9999963,Around,M,
21999,0:14:39,687,179,316,325,Positive,0.9812013,Around,M,
22000,0:14:40,714,180,298,361,Positive,0.97918165,Around,M,
22233,0:14:49,669,282,207,269,Positive,0.9869069,Around,M,
22449,0:14:57,932,191,97,106,Positive,0.98050433,Around,M,
22450,0:14:58,939,165,134,102,Positive,0.99942136,Around,M,
22454,0:14:58,905,176,182,139,Negative,0.5420801,Around,M,
22455,0:14:58,838,206,178,226,Positive,0.6772383,Around,M,
22456,0:14:58,669,214,300,419,Positive,0.98268294,Around,M,
22457,0:14:58,685,227,207,445,Positive,0.5567601,Around,M,
22457,0:14:58,692,367,142,275,Positive,0.9853241,Around,M,
22458,0:14:58,705,229,252,494,Positive,0.874937,Around,M,
22459,0:14:58,768,250,333,499,Negative,0.61653125,Around,M,
22460,0:14:58,810,232,488,470,Positive,0.94013715,Around,M,
22460,0:14:58,945,415,111,211,Positive,0.97213566,Around,M,
22461,0:14:58,965,489,231,315,Positive,0.65551627,Around,M,
22779,0:15:11,77,589,131,228,Negative,0.6859878,Around,F,Feed from outside
22780,0:15:11,315,509,211,392,Positive,0.9712758,Around,F,
22781,0:15:11,406,349,345,464,Positive,0.6817384,Around,F,
22782,0:15:11,555,306,398,346,Positive,0.89855796,Around,F,
22783,0:15:11,625,229,457,382,Positive,0.9999242,Around,F,
22784,0:15:11,645,128,501,505,Positive,0.92008036,Around,F,
22785,0:15:11,651,122,408,484,Positive,0.99997926,Around,F,
22786,0:15:11,655,130,441,312,Positive,0.99995625,Around,F,
22787,0:15:11,930,146,176,88,Positive,0.5149146,Around,F,
23069,0:15:22,798,255,210,175,Positive,0.97896636,Inside,F,
23070,0:15:22,719,173,165,149,Negative,0.8692684,Inside,F,
23070,0:15:22,870,192,124,135,Positive,0.81266576,Inside,F,
23071,0:15:22,804,379,137,114,Positive,0.90096176,Inside,F,
23072,0:15:22,773,261,281,260,Positive,0.9779704,Inside,F,
23073,0:15:22,812,308,206,163,Positive,0.89676374,Inside,F,
23075,0:15:23,825,149,335,164,Positive,0.992,Inside,F,
23089,0:15:23,911,91,161,107,Positive,0.98229057,Inside,F,
23876,0:15:55,637,588,132,273,Positive,0.9894455,Fly,,
23877,0:15:55,615,577,143,396,Positive,0.58770967,Fly,,
23878,0:15:55,747,446,274,341,Positive,0.99808264,Fly,,
23879,0:15:55,886,520,200,284,Positive,0.55952567,Fly,,
23880,0:15:55,838,575,145,434,Positive,0.659318,Fly,,
23893,0:15:55,861,163,142,172,Positive,0.9106397,Exit,F,
23894,0:15:55,780,193,207,291,Positive,0.7313068,Exit,F,
23896,0:15:55,656,298,421,446,Positive,0.75292015,Exit,F,
23897,0:15:55,759,384,336,476,Positive,0.61683214,Exit,F,
23897,0:15:55,829,589,106,203,Negative,0.9330265,Exit,F,
23935,0:15:57,853,580,140,193,Positive,0.5489075,Around,M,Feed from outside
23936,0:15:57,788,475,245,334,Positive,0.5434769,Around,M,
23937,0:15:57,694,381,321,449,Positive,0.9088205,Around,M,
23938,0:15:57,642,287,399,296,Negative,0.55734444,Around,M,
23939,0:15:57,622,174,469,381,Positive,0.9771154,Around,M,
23940,0:15:57,641,69,464,528,Positive,0.999997,Around,M,
23941,0:15:57,648,142,415,324,Positive,0.95130503,Around,M,
23942,0:15:57,695,152,368,379,Positive,0.99999666,Around,M,
23943,0:15:57,668,251,116,163,Negative,0.999534,Around,M,
23943,0:15:57,857,155,190,170,Positive,0.9998543,Around,M,
23967,0:15:58,666,285,186,208,Positive,0.9952114,Around,M,
23977,0:15:59,677,308,134,102,Negative,0.94537306,Around,M,
24033,0:16:01,676,300,116,202,Positive,0.6485268,Around,M,
24236,0:16:09,889,146,81,130,Positive,0.95889217,Around,M,
24241,0:16:09,909,167,102,105,Negative,0.64529437,Around,M,
24242,0:16:09,925,134,115,96,Positive,0.91201806,Around,M,
24248,0:16:09,669,300,106,126,Negative,0.9582328,Around,M,
24248,0:16:09,830,150,201,220,Positive,0.9825848,Around,M,
24249,0:16:09,667,189,255,413,Positive,0.9986966,Around,M,
24250,0:16:10,895,194,193,262,Negative,0.5520815,Around,M,
24250,0:16:10,686,205,223,206,Negative,0.7836824,Around,M,
24251,0:16:10,719,207,293,528,Positive,0.8996587,Around,M,
25748,0:17:09,1006,486,234,144,Negative,0.57841164,Around,M,Feed from outside
25749,0:17:09,903,414,306,289,Negative,0.897681,Around,M,
25750,0:17:10,814,362,353,306,Positive,0.8683807,Around,M,
25751,0:17:10,744,309,393,297,Positive,0.95820254,Around,M,
25752,0:17:10,650,235,458,345,Positive,0.7969565,Around,M,
25753,0:17:10,650,153,479,589,Positive,0.9981501,Around,M,
25754,0:17:10,686,139,443,428,Positive,0.99960476,Around,M,
25755,0:17:10,709,132,333,267,Positive,0.9991714,Around,M,
25756,0:17:10,677,157,305,180,Positive,0.77140826,Around,M,
25757,0:17:10,680,183,247,159,Positive,0.9833361,Around,M,
26015,0:17:20,755,407,105,181,Negative,0.9116099,Around,M,
26225,0:17:29,766,365,133,201,Positive,0.8114561,Around,M,
26226,0:17:29,762,361,132,199,Negative,0.63187575,Around,M,
26252,0:17:30,886,121,89,116,Positive,0.87414753,Around,M,
26382,0:17:35,936,135,114,120,Positive,0.9999182,Around,M,
26386,0:17:35,898,149,174,165,Positive,0.95348454,Around,M,
26387,0:17:35,748,154,357,354,Positive,0.9999714,Around,M,
26388,0:17:35,734,161,358,434,Positive,0.9999639,Around,M,
26389,0:17:35,796,157,506,449,Positive,0.98860675,Around,M,
26390,0:17:35,847,130,434,433,Positive,0.9524092,Around,M,
26392,0:17:35,1041,443,277,212,Negative,0.82516867,Around,M,
28323,0:18:52,595,347,373,376,Positive,0.8773884,Enter,F,
28324,0:18:52,569,255,436,444,Positive,0.9270593,Enter,F,
28325,0:18:53,629,188,506,334,Positive,0.9888391,Enter,F,
28326,0:18:53,659,139,397,331,Positive,0.9929999,Enter,F,
28328,0:18:53,757,141,233,330,Positive,0.85125816,Enter,F,
